,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-04-17,12.2,12.74,12.07,12.3,12.3,10338900.0
1,2019-04-18,12.29,12.56,11.82,12.05,12.05,3142100.0
2,2019-04-22,12.04,12.1,11.81,12.0,12.0,866100.0
3,2019-04-23,12.0,12.04,11.85,11.93,11.93,1919200.0
4,2019-04-24,11.9,11.9,11.66,11.86,11.86,1161400.0
5,2019-04-25,11.71,11.97,11.68,11.95,11.95,1101400.0
6,2019-04-26,11.97,12.05,11.87,11.95,11.95,496900.0
7,2019-04-29,11.95,12.08,11.83,11.89,11.89,423300.0
8,2019-04-30,11.9,12.1,11.16,11.7,11.7,3631900.0
9,2019-05-02,11.61,11.8,11.57,11.64,11.64,464300.0
10,2019-05-03,11.7,11.8,11.5,11.52,11.52,778700.0
11,2019-05-06,11.49,11.75,11.35,11.67,11.67,180200.0
12,2019-05-07,11.6,11.79,11.5,11.75,11.75,232800.0
13,2019-05-08,11.75,11.95,11.63,11.79,11.79,78900.0
14,2019-05-09,11.8,11.94,11.41,11.93,11.93,237700.0
15,2019-05-10,11.9,12.24,11.9,12.1,12.1,669000.0
16,2019-05-13,11.99,12.0,11.86,11.95,11.95,433700.0
17,2019-05-14,12.0,12.39,11.92,12.17,12.17,1136200.0
18,2019-05-15,12.09,12.15,11.8,11.8,11.8,1335000.0
19,2019-05-16,11.67,11.9,11.52,11.56,11.56,1038600.0
20,2019-05-17,11.56,11.88,10.9,11.0,11.0,984300.0
21,2019-05-20,11.29,11.29,10.98,11.1,11.1,117200.0
22,2019-05-21,11.2,11.39,11.12,11.3,11.3,253500.0
23,2019-05-22,11.59,11.59,11.27,11.35,11.35,223300.0
24,2019-05-23,11.84,12.21,11.29,11.3,11.3,1121200.0
25,2019-05-24,11.3,11.45,11.2,11.3,11.3,207200.0
26,2019-05-27,11.33,11.69,11.19,11.2,11.2,393800.0
27,2019-05-28,11.4,11.59,11.3,11.52,11.52,291800.0
28,2019-05-29,11.69,11.78,11.41,11.7,11.7,497500.0
29,2019-05-30,11.73,11.85,11.6,11.73,11.73,445800.0
30,2019-05-31,11.71,11.94,11.42,11.94,11.94,2469900.0
31,2019-06-03,11.97,12.1,11.76,11.85,11.85,341500.0
32,2019-06-04,11.83,11.84,11.45,11.59,11.59,433200.0
33,2019-06-05,11.48,11.66,11.46,11.6,11.6,186800.0
34,2019-06-06,11.64,11.79,11.5,11.6,11.6,146300.0
35,2019-06-07,11.61,11.74,11.33,11.5,11.5,329300.0
36,2019-06-10,11.52,11.6,11.31,11.6,11.6,348000.0
37,2019-06-11,11.54,11.69,11.45,11.46,11.46,345200.0
38,2019-06-12,11.67,11.69,11.51,11.55,11.55,109500.0
39,2019-06-13,11.53,11.84,11.43,11.6,11.6,344300.0
40,2019-06-14,11.69,11.72,11.32,11.6,11.6,475700.0
41,2019-06-17,11.59,11.74,11.51,11.56,11.56,150100.0
42,2019-06-18,11.69,11.94,11.59,11.9,11.9,787900.0
43,2019-06-19,11.89,12.33,11.8,12.3,12.3,221700.0
44,2019-06-21,12.3,12.9,12.3,12.8,12.8,990700.0
45,2019-06-24,12.8,12.91,12.55,12.76,12.76,367700.0
46,2019-06-25,12.74,12.99,12.66,12.98,12.98,1743100.0
47,2019-06-26,12.9,13.95,12.86,13.75,13.75,1344300.0
48,2019-06-27,13.75,14.3,13.75,14.25,14.25,2098600.0
49,2019-06-28,14.35,14.51,14.0,14.3,14.3,1554600.0
50,2019-07-01,14.42,14.5,13.76,14.0,14.0,990900.0
51,2019-07-02,14.0,14.1,13.71,13.8,13.8,273500.0
52,2019-07-03,13.85,14.04,13.62,14.0,14.0,2832200.0
53,2019-07-04,13.94,14.4,13.94,13.95,13.95,336300.0
54,2019-07-05,14.0,14.37,14.0,14.2,14.2,2415300.0
55,2019-07-08,14.3,14.78,14.2,14.78,14.78,1069800.0
56,2019-07-10,14.85,15.5,14.81,15.3,15.3,1494100.0
57,2019-07-11,15.47,15.63,14.84,15.08,15.08,1324100.0
58,2019-07-12,15.27,15.44,14.77,15.01,15.01,162300.0
59,2019-07-15,15.01,15.26,14.9,15.07,15.07,388600.0
60,2019-07-16,15.09,15.14,14.88,15.0,15.0,133000.0
61,2019-07-17,15.0,15.5,15.0,15.3,15.3,155200.0
62,2019-07-18,15.3,15.87,15.17,15.5,15.5,297300.0
63,2019-07-19,15.62,15.74,15.24,15.33,15.33,227100.0
64,2019-07-22,15.44,15.96,15.44,15.8,15.8,718100.0
65,2019-07-23,15.89,16.08,15.85,15.99,15.99,857500.0
66,2019-07-24,15.82,16.15,15.82,15.95,15.95,446900.0
67,2019-07-25,16.18,16.18,15.72,15.98,15.98,1867000.0
68,2019-07-26,16.0,16.34,15.97,16.309998999999998,16.309998999999998,1397800.0
69,2019-07-29,16.32,16.879998999999998,16.309998999999998,16.76,16.76,1345200.0
70,2019-07-30,16.75,17.0,16.65,17.0,17.0,235800.0
71,2019-07-31,17.030001000000002,17.190001000000002,16.440001000000002,17.09,17.09,584400.0
72,2019-08-01,17.059998999999998,17.34,16.73,16.799999,16.799999,1399900.0
73,2019-08-02,16.799999,17.0,16.51,16.799999,16.799999,1710700.0
74,2019-08-05,16.6,16.6,16.1,16.4,16.4,984200.0
75,2019-08-06,16.4,16.709999,16.35,16.700001,16.700001,572500.0
76,2019-08-07,16.75,17.610001,16.73,17.610001,17.610001,470300.0
77,2019-08-08,17.67,18.18,17.610001,18.18,18.18,301700.0
78,2019-08-09,18.18,18.57,17.91,18.57,18.57,203800.0
79,2019-08-12,18.450001,18.459999,17.950001,18.290001,18.290001,611500.0
80,2019-08-13,18.200001,18.200001,17.549999,17.799999,17.799999,1028200.0
81,2019-08-14,18.0,18.629998999999998,17.209999,17.25,17.25,474000.0
82,2019-08-15,17.5,17.540001,16.26,16.549999,16.549999,1402800.0
83,2019-08-16,16.709999,17.799999,16.35,17.799999,17.799999,1108600.0
84,2019-08-19,17.969998999999998,17.969998999999998,17.299999,17.700001,17.700001,399000.0
85,2019-08-20,17.700001,17.700001,17.120001000000002,17.42,17.42,1185200.0
86,2019-08-21,17.4,18.16,17.309998999999998,18.0,18.0,222500.0
87,2019-08-22,18.1,18.58,17.85,18.35,18.35,1339200.0
88,2019-08-23,18.07,19.200001,17.969998999999998,18.5,18.5,872600.0
89,2019-08-26,18.709999,18.82,18.01,18.700001,18.700001,587300.0
90,2019-08-27,19.0,19.4,18.5,18.9,18.9,710600.0
91,2019-08-28,18.6,19.9,18.299999,19.459999,19.459999,1947300.0
92,2019-08-29,19.48,20.42,19.43,20.42,20.42,557500.0
93,2019-08-30,20.49,21.09,20.469998999999998,20.75,20.75,944900.0
94,2019-09-02,20.75,21.360001,20.58,21.0,21.0,340500.0
95,2019-09-03,21.0,21.950001,21.0,21.33,21.33,924400.0
96,2019-09-04,21.75,22.25,21.51,21.700001,21.700001,1207700.0
97,2019-09-05,21.709999,22.219998999999998,21.190001000000002,21.190001000000002,21.190001000000002,461900.0
98,2019-09-06,21.190001000000002,21.299999,20.610001,20.85,20.85,948300.0
99,2019-09-09,21.0,21.459999,19.950001,20.23,20.23,611800.0
100,2019-09-10,20.23,20.23,19.559998999999998,20.09,20.09,349000.0
101,2019-09-11,20.370001000000002,20.889999,19.940001000000002,20.139999,20.139999,933300.0
102,2019-09-12,20.219998999999998,20.299999,19.68,19.940001000000002,19.940001000000002,415900.0
103,2019-09-13,20.0,20.280001000000002,19.120001000000002,19.4,19.4,2704200.0
104,2019-09-16,19.5,19.73,18.82,19.0,19.0,1080000.0
105,2019-09-17,19.08,20.190001000000002,18.879998999999998,20.1,20.1,1145100.0
106,2019-09-18,20.26,21.18,20.200001,21.1,21.1,1567400.0
107,2019-09-19,21.23,22.059998999999998,21.23,21.799999,21.799999,586300.0
108,2019-09-20,22.040001,22.49,21.559998999999998,22.049999,22.049999,1032800.0
109,2019-09-23,22.57,22.59,21.790001,22.129998999999998,22.129998999999998,258600.0
110,2019-09-24,23.309998999999998,23.709999,22.5,22.5,22.5,1691800.0
111,2019-09-25,23.379998999999998,23.6,22.33,22.85,22.85,1513200.0
112,2019-09-26,23.08,23.27,22.6,23.059998999999998,23.059998999999998,621000.0
113,2019-09-27,23.110001,23.27,22.65,22.879998999999998,22.879998999999998,425400.0
114,2019-09-30,23.08,23.120001000000002,22.57,22.57,22.57,504400.0
115,2019-10-01,22.75,22.75,22.1,22.110001,22.110001,517200.0
116,2019-10-02,22.1,22.219998999999998,21.35,21.4,21.4,478800.0
117,2019-10-03,21.51,21.99,21.459999,21.6,21.6,610400.0
118,2019-10-04,21.6,22.85,21.52,22.200001,22.200001,953700.0
119,2019-10-07,22.24,22.98,22.0,22.0,22.0,511600.0
120,2019-10-08,22.1,22.1,21.549999,21.85,21.85,324000.0
121,2019-10-09,21.889999,22.08,20.85,21.030001000000002,21.030001000000002,1216800.0
122,2019-10-10,21.049999,21.379998999999998,20.969998999999998,20.969998999999998,20.969998999999998,1209500.0
123,2019-10-11,21.07,22.049999,21.07,21.77,21.77,1753000.0
124,2019-10-14,22.040001,22.98,21.73,22.870001000000002,22.870001000000002,922100.0
125,2019-10-15,22.950001,24.23,22.889999,23.370001000000002,23.370001000000002,1169600.0
126,2019-10-16,23.4,23.91,23.08,23.700001,23.700001,774000.0
127,2019-10-17,23.790001,24.139999,23.67,23.77,23.77,493800.0
128,2019-10-18,23.77,24.17,23.43,23.540001,23.540001,547000.0
129,2019-10-21,23.700001,24.700001,23.219998999999998,24.700001,24.700001,689100.0
130,2019-10-22,24.719998999999998,25.6,24.5,25.4,25.4,754400.0
131,2019-10-23,25.58,26.08,25.15,25.200001,25.200001,2305600.0
132,2019-10-24,25.290001,25.790001,24.91,25.75,25.75,1233800.0
133,2019-10-25,26.0,26.4,25.309998999999998,25.959999,25.959999,977400.0
134,2019-10-28,26.16,27.690001000000002,26.1,27.0,27.0,974800.0
135,2019-10-29,27.9,28.5,27.0,27.0,27.0,3282600.0
136,2019-10-30,27.200001,27.790001,27.01,27.030001000000002,27.030001000000002,986800.0
137,2019-10-31,27.059998999999998,27.370001000000002,26.700001,26.99,26.99,983900.0
